,STATION,NAME,DATE,AWND,PRCP,TMIN,TMAX
52,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",22-02-2021,7.38,0.0,49.0,67.0
53,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",23-02-2021,4.7,0.0,46.0,70.0
54,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",24-02-2021,5.14,0.0,50.0,74.0
55,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",25-02-2021,4.92,0.0,57.0,72.0
56,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",26-02-2021,8.95,0.0,60.0,82.0
57,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",27-02-2021,9.4,0.0,,83.0
58,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",28-02-2021,12.97,0.0,71.0,85.0
59,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",01-03-2021,10.29,0.02,60.0,76.0
60,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",02-03-2021,19.01,1.02,48.0,62.0
61,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",03-03-2021,10.74,0.0,45.0,60.0
62,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",04-03-2021,7.16,0.0,53.0,67.0
63,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",05-03-2021,6.71,0.02,55.0,71.0
64,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",06-03-2021,14.32,0.0,56.0,66.0
65,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",07-03-2021,11.86,0.0,52.0,67.0
66,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",08-03-2021,9.17,0.0,53.0,71.0
67,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",09-03-2021,10.51,0.0,54.0,77.0
68,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",10-03-2021,14.32,0.0,63.0,78.0
69,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",11-03-2021,11.18,0.0,64.0,79.0
70,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",12-03-2021,8.5,0.0,65.0,80.0
71,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",13-03-2021,7.83,0.0,66.0,78.0
72,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",14-03-2021,10.74,0.0,66.0,81.0
73,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",15-03-2021,11.63,1.19,70.0,84.0
74,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",16-03-2021,11.86,0.01,72.0,83.0
75,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",17-03-2021,18.57,1.19,67.0,83.0
76,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",18-03-2021,23.04,0.0,59.0,69.0
77,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",19-03-2021,18.12,0.0,55.0,60.0
78,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",20-03-2021,10.96,0.0,54.0,64.0
79,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",21-03-2021,8.72,0.0,57.0,71.0
80,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",22-03-2021,11.41,0.0,57.0,73.0
81,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",23-03-2021,16.78,4.71,62.0,75.0
82,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",24-03-2021,12.97,1.22,62.0,74.0
83,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",25-03-2021,17.67,0.0,73.0,80.0
84,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",26-03-2021,8.5,0.01,70.0,84.0
85,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",27-03-2021,13.42,0.0,75.0,86.0
86,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",28-03-2021,15.21,0.02,63.0,78.0
87,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",29-03-2021,14.09,0.0,59.0,71.0
88,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",30-03-2021,11.18,0.01,66.0,84.0
89,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",31-03-2021,15.66,0.08,60.0,84.0
90,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",01-04-2021,25.5,0.0,54.0,67.0
91,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",02-04-2021,12.3,0.0,50.0,64.0
92,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",03-04-2021,8.5,0.0,52.0,69.0
93,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",04-04-2021,7.16,0.0,59.0,73.0
94,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",05-04-2021,6.26,0.0,58.0,76.0
95,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",06-04-2021,10.29,0.01,65.0,82.0
96,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",07-04-2021,13.87,0.0,70.0,82.0
97,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",08-04-2021,9.4,2.4,66.0,82.0
98,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",09-04-2021,13.42,0.04,74.0,87.0
99,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",10-04-2021,11.41,2.24,64.0,78.0
100,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",11-04-2021,8.05,0.0,68.0,79.0
101,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",12-04-2021,7.61,0.0,65.0,83.0
102,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",13-04-2021,16.78,1.67,66.0,79.0
103,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",14-04-2021,14.09,1.4,67.0,73.0
104,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",15-04-2021,11.18,0.68,68.0,74.0
105,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",16-04-2021,12.08,0.85,62.0,
106,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",17-04-2021,14.76,0.78,63.0,74.0
107,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",18-04-2021,14.99,0.0,59.0,76.0
108,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",19-04-2021,10.96,0.0,61.0,77.0
109,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",20-04-2021,7.38,0.0,71.0,81.0
110,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",21-04-2021,17.9,0.0,57.0,75.0
111,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",22-04-2021,13.42,0.0,59.0,69.0
112,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",23-04-2021,14.54,0.0,62.0,79.0
113,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",24-04-2021,18.79,0.08,69.0,86.0
114,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",25-04-2021,10.07,0.0,62.0,76.0
115,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",26-04-2021,8.28,0.0,64.0,81.0
116,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",27-04-2021,11.41,0.0,71.0,87.0
117,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",28-04-2021,13.2,0.0,75.0,87.0
118,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",29-04-2021,9.4,0.0,75.0,88.0
119,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",30-04-2021,7.38,0.0,73.0,82.0
120,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",01-05-2021,12.53,0.0,71.0,80.0
121,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",02-05-2021,13.2,0.25,71.0,81.0
122,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",03-05-2021,14.76,0.05,75.0,88.0
123,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",04-05-2021,13.87,2.11,72.0,88.0
124,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",05-05-2021,11.86,1.39,71.0,78.0
125,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",06-05-2021,12.3,0.0,69.0,81.0
126,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",07-05-2021,8.5,0.0,65.0,84.0
127,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",08-05-2021,10.29,0.0,68.0,86.0
128,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",09-05-2021,12.75,0.0,70.0,86.0
129,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",10-05-2021,8.95,2.78,71.0,82.0
130,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",11-05-2021,9.84,0.7,71.0,79.0
131,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",12-05-2021,12.08,1.16,70.0,81.0
132,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",13-05-2021,13.42,0.0,68.0,79.0
133,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",14-05-2021,9.4,0.0,69.0,80.0
134,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",15-05-2021,9.17,0.0,67.0,81.0
135,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",16-05-2021,11.18,0.0,68.0,82.0
136,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",17-05-2021,12.08,0.56,72.0,78.0
137,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",18-05-2021,12.3,1.55,69.0,81.0
138,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",19-05-2021,17.45,0.49,74.0,81.0
139,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",20-05-2021,21.25,0.08,75.0,80.0
140,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",21-05-2021,20.8,0.57,74.0,80.0
141,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",22-05-2021,14.54,0.0,74.0,81.0
142,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",23-05-2021,9.4,0.0,72.0,84.0
143,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",24-05-2021,7.61,0.0,73.0,83.0
144,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",25-05-2021,8.5,0.0,72.0,87.0
145,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",26-05-2021,5.82,0.0,73.0,90.0
146,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",27-05-2021,7.61,0.0,76.0,89.0
147,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",28-05-2021,11.41,0.0,76.0,89.0
148,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",29-05-2021,10.29,0.0,76.0,82.0
149,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",30-05-2021,12.08,0.0,66.0,82.0
150,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",31-05-2021,10.96,0.0,72.0,86.0
151,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",01-06-2021,10.51,0.0,74.0,88.0
152,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",02-06-2021,7.61,0.42,76.0,85.0
153,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",03-06-2021,5.37,0.35,75.0,87.0
154,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",04-06-2021,5.14,0.17,75.0,85.0
155,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",05-06-2021,11.41,0.38,72.0,78.0
156,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",06-06-2021,11.63,0.43,75.0,84.0
157,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",07-06-2021,12.08,0.0,75.0,91.0
158,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",08-06-2021,10.51,0.0,80.0,91.0
159,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",09-06-2021,8.05,0.0,79.0,90.0
160,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",10-06-2021,8.5,0.0,77.0,92.0
161,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",11-06-2021,9.4,0.0,80.0,92.0
162,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",12-06-2021,8.95,0.0,80.0,91.0
163,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",13-06-2021,13.2,0.24,76.0,94.0
164,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",14-06-2021,6.71,0.0,77.0,94.0
165,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",15-06-2021,7.61,0.0,82.0,94.0
166,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",16-06-2021,8.95,0.0,83.0,93.0
167,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",17-06-2021,13.65,0.0,81.0,90.0
168,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",18-06-2021,15.43,2.08,74.0,83.0
169,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",19-06-2021,15.66,0.02,77.0,88.0
170,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",20-06-2021,12.53,0.03,78.0,89.0
171,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",21-06-2021,11.41,4.17,75.0,90.0
172,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",22-06-2021,5.37,0.07,77.0,88.0
173,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",23-06-2021,6.04,0.35,79.0,89.0
174,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",24-06-2021,5.59,0.9,78.0,92.0
175,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",25-06-2021,7.38,1.08,75.0,86.0
176,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",26-06-2021,10.96,0.0,79.0,90.0
177,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",27-06-2021,10.51,0.81,77.0,87.0
178,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",28-06-2021,10.51,0.25,77.0,88.0
179,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",29-06-2021,7.83,0.1,78.0,87.0
180,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",30-06-2021,8.05,0.0,79.0,89.0
181,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",01-07-2021,5.59,0.38,77.0,88.0
182,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",02-07-2021,9.17,0.39,78.0,89.0
183,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",03-07-2021,10.51,0.06,78.0,85.0
184,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",04-07-2021,6.93,0.0,77.0,88.0
185,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",05-07-2021,6.49,0.02,77.0,89.0
186,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",06-07-2021,6.49,0.04,79.0,89.0
187,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",07-07-2021,5.82,0.05,78.0,87.0
188,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",08-07-2021,6.26,0.0,79.0,91.0
189,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",09-07-2021,7.38,0.19,79.0,86.0
190,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",10-07-2021,6.71,0.91,78.0,88.0
191,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",11-07-2021,9.62,1.23,74.0,88.0
192,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",12-07-2021,8.05,0.03,77.0,90.0
193,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",13-07-2021,6.93,0.0,77.0,91.0
194,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",14-07-2021,7.61,0.0,80.0,91.0
195,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",15-07-2021,5.82,0.66,77.0,90.0
196,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",16-07-2021,5.37,0.76,75.0,90.0
197,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",17-07-2021,5.82,0.91,77.0,89.0
198,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",18-07-2021,4.92,0.02,78.0,89.0
199,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",19-07-2021,6.93,0.26,78.0,89.0
200,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",20-07-2021,7.61,0.54,76.0,85.0
201,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",21-07-2021,6.26,0.02,78.0,91.0
202,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",22-07-2021,7.61,0.05,81.0,94.0
203,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",23-07-2021,11.18,0.0,84.0,93.0
204,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",24-07-2021,10.74,0.0,83.0,94.0
205,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",25-07-2021,5.59,0.02,84.0,92.0
206,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",26-07-2021,6.26,0.0,83.0,96.0
207,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",27-07-2021,6.71,0.0,81.0,95.0
208,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",28-07-2021,7.16,0.06,82.0,95.0
209,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",29-07-2021,7.16,0.28,81.0,94.0
210,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",30-07-2021,7.16,0.0,83.0,94.0
211,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",31-07-2021,11.18,0.0,81.0,91.0
212,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",01-08-2021,7.38,0.0,81.0,94.0
213,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",02-08-2021,8.05,0.71,78.0,87.0
214,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",03-08-2021,6.49,2.1,76.0,88.0
215,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",04-08-2021,12.97,0.0,80.0,92.0
216,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",05-08-2021,7.38,0.0,78.0,89.0
217,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",06-08-2021,5.14,0.0,75.0,91.0
218,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",07-08-2021,5.14,0.0,80.0,94.0
219,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",08-08-2021,6.71,0.11,82.0,93.0
220,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",09-08-2021,4.47,0.2,79.0,90.0
221,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",10-08-2021,4.25,0.0,81.0,93.0
222,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",11-08-2021,5.37,0.0,80.0,90.0
223,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",12-08-2021,4.92,0.0,80.0,90.0
224,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",13-08-2021,3.58,0.25,78.0,90.0
225,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",14-08-2021,5.82,0.0,80.0,94.0
226,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",15-08-2021,9.62,0.0,81.0,92.0
227,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",16-08-2021,7.38,0.02,80.0,94.0
228,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",17-08-2021,6.71,0.19,80.0,94.0
229,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",18-08-2021,7.38,0.04,82.0,94.0
230,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",19-08-2021,6.26,0.18,79.0,92.0
231,USW00053917,"NEW ORLEANS LAKEFRONT AIRPORT, LA US",20-08-2021,5.82,0.0,81.0,93.0
